strategy,family,config_id,params_json,windows,mean_sharpe,mean_pooled_profit_factor,mean_sharpe_delta_all_cells,sharpe_improved_cells,pf_improved_cells,both_improved_cells,majority_windows
Freqtrade Sample Strategy,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.45839099413041107,0.948543406067786,-0.12744754056250532,1,1,1,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.5858385346929165,0.9813204656524297,0.0,0,0,0,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.8097397675978978,1.0445201238256012,0.22390123290498137,5,5,5,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.4348770006377394,0.9334110978123475,-0.15096153405517698,3,4,3,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.5660695518186585,0.9658657169155356,-0.019768982874257914,4,4,4,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl1_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.7922446128571987,1.0276199713660368,0.2064060781642822,7,7,7,1
Freqtrade Sample Strategy,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.4211200381178575,0.9600975843956081,-0.1647184965750589,3,3,3,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.5486023536305433,0.9938164692956555,-0.037236181062372975,2,2,2,0
Freqtrade Sample Strategy,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,0.7725035865355248,1.0580075137352427,0.1866650518426084,7,7,7,2
ML Classifier,adaptive_risk,risk_sl1.5_tp2,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",4,-0.11283603963429618,0.8999143161418554,0.0389483385931276,2,2,2,0
